code	url	creator	created_t	last_modified_t	product_name	generic_name	quantity	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	origins	origins_tags	manufacturing_places	manufacturing_places_tags	labels	labels_tags	emb_codes	emb_codes_tags	cities	cities_tags	purchase_places	stores	countries	ingredients_text	allergens	allergens_tags	traces	traces_tags	serving_size	serving_quantity	no_nutriments	additives_n	additives_tags	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	nutrition_grade_fr	nova_group	pnns_groups_1	pnns_groups_2	states	main_category	image_url	image_small_url	image_front_url	image_front_small_url	image_ingredients_url	image_ingredients_small_url	image_nutrition_url	image_nutrition_small_url	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	-butyric-acid_100g	-caproic-acid_100g	-caprylic-acid_100g	-capric-acid_100g	-lauric-acid_100g	-myristic-acid_100g	-palmitic-acid_100g	-stearic-acid_100g	-arachidic-acid_100g	-behenic-acid_100g	-lignoceric-acid_100g	-cerotic-acid_100g	-montanic-acid_100g	-melissic-acid_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	-alpha-linolenic-acid_100g	-eicosapentaenoic-acid_100g	-docosahexaenoic-acid_100g	omega-6-fat_100g	-linoleic-acid_100g	-arachidonic-acid_100g	-gamma-linolenic-acid_100g	-dihomo-gamma-linolenic-acid_100g	omega-9-fat_100g	-oleic-acid_100g	-elaidic-acid_100g	-gondoic-acid_100g	-mead-acid_100g	-erucic-acid_100g	-nervonic-acid_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	-sucrose_100g	-glucose_100g	-fructose_100g	-lactose_100g	-maltose_100g	-maltodextrins_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-dried_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	carbon-footprint-from-meat-or-fish_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
3560070342167	https://world.openfoodfacts.org/product/3560070342167	kiliweb	1502044921	1573576978	Petit Beurre	Biscuits au beurre	400 g	Folie	folie	Produits blancs	produits-blancs	"Gustări,Gustări dulci,Biscuiți și prăjituri,Biscuiți,Dry biscuits,Petit-Beurre"	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:dry-biscuits,en:petit-beurre												Carrefour	"Franța,Italia,Polonia,România,Spania"	"Farine de blé, sucre, beurre 11%, sirop de glucose, poudre de lait écrémé, poudre à lever : carbonates d'ammonium, sel, émulsifiant : lécithines (tournesol)."	en:gluten,en:milk	en:gluten,en:milk						2	en:e322,en:e503	0			0			d	4	Sugary snacks	Biscuits and cakes	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:petit-beurre	https://static.openfoodfacts.org/images/products/356/007/034/2167/front_fr.18.400.jpg	https://static.openfoodfacts.org/images/products/356/007/034/2167/front_fr.18.200.jpg	https://static.openfoodfacts.org/images/products/356/007/034/2167/front_fr.18.400.jpg	https://static.openfoodfacts.org/images/products/356/007/034/2167/front_fr.18.200.jpg	https://static.openfoodfacts.org/images/products/356/007/034/2167/ingredients_fr.9.400.jpg	https://static.openfoodfacts.org/images/products/356/007/034/2167/ingredients_fr.9.200.jpg	https://static.openfoodfacts.org/images/products/356/007/034/2167/nutrition_fr.6.400.jpg	https://static.openfoodfacts.org/images/products/356/007/034/2167/nutrition_fr.6.200.jpg	1821		10	7																																			77	23									1.5	7.3				0.21	0.084																																												15	15							
20588984	https://world.openfoodfacts.org/product/20588984	brandprivat	1519495561	1572773570	Tastino Petit beurre Classic XXL	"Tastino Biscuiți cu aromă de vanille"	540 g	Celofan alimentar	celofan-alimentar	Tastino	tastino	Snacks, Sweet snacks, Biscuits and cakes, Biscuits, fr:Petits beurres, Biscuiti	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,fr:petits-beurres,ro:biscuiti			"Uniunea Europeană"	"uniunea-europeană"							Constanta,Romania	Lidl	România	Faina alba de grau, sirop de glucoza-fructoza, zahar, grasime de palmier nehidrogenata, agenti de afanare: carbonati de amoniu, carbonati de sodiu, difosfati; sare, agenti de umezire: glicerol; emulsifiant: lecitina din rapita; arome, conservant: metabisulfit de sodiu.								3	en:e223,en:e422,en:e500,en:e500i	0			0			d	4	Sugary snacks	Biscuits and cakes	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	fr:petits-beurres	https://static.openfoodfacts.org/images/products/20588984/front_ro.4.400.jpg	https://static.openfoodfacts.org/images/products/20588984/front_ro.4.200.jpg	https://static.openfoodfacts.org/images/products/20588984/front_ro.4.400.jpg	https://static.openfoodfacts.org/images/products/20588984/front_ro.4.200.jpg	https://static.openfoodfacts.org/images/products/20588984/ingredients_ro.7.400.jpg	https://static.openfoodfacts.org/images/products/20588984/ingredients_ro.7.200.jpg	https://static.openfoodfacts.org/images/products/20588984/nutrition_ro.10.400.jpg	https://static.openfoodfacts.org/images/products/20588984/nutrition_ro.10.200.jpg	1754		9.2	4.3																																			72.6	18.3									2.7	9.2				0.85	0.34																																												14	14							
7622210203359	https://world.openfoodfacts.org/product/7622210203359	brandprivat	1542053288	1572773436	"Milka Biscuiți acoperiți cu ciocolată cu lapte alpin"	"Milka Biscuiți acoperiți cu ciocolată cu lapte alpin"	40 g	"Folie alimentară"	"folie-alimentară"	Milka	milka	Chocolate biscuits	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:chocolate-biscuits											Constanta,Romania		România	Faina de grau, zahar, ulei de palmier, sirop de glucoza, unt de cacao, lapte praf degresat, masa de cacao, zer praf (din lapte), grasime din lapte, lapte praf integral, emulsifianti (lecitina de soia, E472e, E476), agenti de afanare (carbonati de sodiu, carbonati de amoniu), sare, pasta de alune de padure, arome, corector de aciditate (acid citric).	en:gluten,en:milk,en:nuts,en:soybeans	en:gluten,en:milk,en:nuts,en:soybeans	en:eggs,en:sesame-seeds	en:eggs,en:sesame-seeds				4	en:e330,en:e472e,en:e476,en:e500,en:e500i	0			1		e472e-ester-monoacethyltartrique-de-mono-et-diglycerides-d-acides-gras	e	4	Sugary snacks	Biscuits and cakes	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:chocolate-biscuits	https://static.openfoodfacts.org/images/products/762/221/020/3359/front_ro.4.400.jpg	https://static.openfoodfacts.org/images/products/762/221/020/3359/front_ro.4.200.jpg	https://static.openfoodfacts.org/images/products/762/221/020/3359/front_ro.4.400.jpg	https://static.openfoodfacts.org/images/products/762/221/020/3359/front_ro.4.200.jpg	https://static.openfoodfacts.org/images/products/762/221/020/3359/ingredients_ro.7.400.jpg	https://static.openfoodfacts.org/images/products/762/221/020/3359/ingredients_ro.7.200.jpg	https://static.openfoodfacts.org/images/products/762/221/020/3359/nutrition_ro.10.400.jpg	https://static.openfoodfacts.org/images/products/762/221/020/3359/nutrition_ro.10.200.jpg	2067		21	11																																			67	28									2.1	7.6				0.68	0.272																																												23	23							
5941664002953	https://world.openfoodfacts.org/product/5941664002953	openfoodfacts-contributors	1538829244	1572773285	"Carrefour Biscuiți Petit beurre"	"Carrefour Biscuiți Petit beurre, 450g,"	450 g,	Folie alimentara	folie-alimentara	Carrefour	carrefour	Snacks, Sweet snacks, Biscuits and cakes, Biscuits, fr:Petits beurres	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,fr:petits-beurres	Romania	romania	Romania	romania							Bucuresti,Romania	Carrefour,Carrefour Market,Carrefour Express,Carrefour Contact,Supeco	România	Faina alba de grau, zahar, grasime vegetala de palmier, sirop de glucoza, lapte proaspat pasteurizat 1%, agenti de afanare (carbonat acid de amoniu, carbonat acid de sodiu, pirofosfat acid de sodiu), sare iodata, zer praf, aroma (etilvanilina), conservant (metabisulfit de sodiu), acidifiant (acid citric).	en:gluten,en:milk	en:gluten,en:milk	en:eggs,en:sesame-seeds,en:soybeans,ro:Alune	en:eggs,en:sesame-seeds,en:soybeans,ro:alune				5	en:e223,en:e330,en:e450,en:e450i,en:e500,en:e500ii,en:e503,en:e503ii	0			0			d	4	Sugary snacks	Biscuits and cakes	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	fr:petits-beurres	https://static.openfoodfacts.org/images/products/594/166/400/2953/front_ro.7.400.jpg	https://static.openfoodfacts.org/images/products/594/166/400/2953/front_ro.7.200.jpg	https://static.openfoodfacts.org/images/products/594/166/400/2953/front_ro.7.400.jpg	https://static.openfoodfacts.org/images/products/594/166/400/2953/front_ro.7.200.jpg	https://static.openfoodfacts.org/images/products/594/166/400/2953/ingredients_ro.13.400.jpg	https://static.openfoodfacts.org/images/products/594/166/400/2953/ingredients_ro.13.200.jpg	https://static.openfoodfacts.org/images/products/594/166/400/2953/nutrition_ro.10.400.jpg	https://static.openfoodfacts.org/images/products/594/166/400/2953/nutrition_ro.10.200.jpg	1818		10.3	4.9																																			79	16.5									0	7				0.7	0.28																																												15	15							
5941143022861	https://world.openfoodfacts.org/product/5941143022861	rapiteanu	1569334835	1572773238	"Biscuiți digestivi cu scorțișoară"	"Biscuiți digestivi cu faină integrală de grâu şi scortișoară, 60g,"	60 g,	Folie alimentara	folie-alimentara	Vel Pitar	vel-pitar	Snacks,Sweet snacks,Biscuits and cakes,Biscuiti	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits	România	romania	România	romania							Romania		România	"faină albă de grâu 650, zahăr, ulei vegetal nehidrogenat de palmier apă, tărâțe de grâu (8.1%), făină integrală de grâu (4%), sirop de glucoză, extract de malț (din orz), agenți de afânare (bicarbonat de amoniu, bicarbonat de sodiu), scorțișoară (0.6%), sare iodată, emulsifiant (lecitină din soia), acidifiant (acid citric). Poate conține urme de susan, alune, nuci, lapte. Produs de post."	en:gluten,en:soybeans	en:gluten,en:soybeans	en:milk,en:nuts,en:peanuts,en:sesame-seeds	en:milk,en:nuts,en:peanuts,en:sesame-seeds	30 g	30		3	en:e330,en:e500,en:e500ii,en:e503,en:e503ii	0			0			d	4	Sugary snacks	Biscuits and cakes	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:biscuits	https://static.openfoodfacts.org/images/products/594/114/302/2861/front_ro.4.400.jpg	https://static.openfoodfacts.org/images/products/594/114/302/2861/front_ro.4.200.jpg	https://static.openfoodfacts.org/images/products/594/114/302/2861/front_ro.4.400.jpg	https://static.openfoodfacts.org/images/products/594/114/302/2861/front_ro.4.200.jpg	https://static.openfoodfacts.org/images/products/594/114/302/2861/ingredients_ro.7.400.jpg	https://static.openfoodfacts.org/images/products/594/114/302/2861/ingredients_ro.7.200.jpg	https://static.openfoodfacts.org/images/products/594/114/302/2861/nutrition_ro.10.400.jpg	https://static.openfoodfacts.org/images/products/594/114/302/2861/nutrition_ro.10.200.jpg	1925		15.55	7.45																																			67.6	21									6.23	8.54				0.89	0.356																																												14	14							
7622210836687	https://world.openfoodfacts.org/product/7622210836687	brandprivat	1542833631	1572773234	Oreo choc'o brownie	"Oreo Brownie Biscuiți cu cacao și cremă cu cacao, 154g,"	154 g	Folie alimentara	folie-alimentara	Oreo	oreo	"Snacks,Sweet snacks,Biscuits and cakes,Biscuiti,Chocolate biscuits,Biscuiți umpluți"	"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:chocolate-biscuits,ro:biscuiți-umpluți"	Spania	spania	Spania	spania	Cocoa Life	ro:cocoa-life					Constanta,Romania,Italia		"Italia,România,Elveția"	Faina de grau, zahar, ulei de palmier, ulei de rapita, cacao cu continut redus de grasime 6,5%, amidon din grau, sirop de glucoza-fructoza, agenti de afanare (carbonati de potasiu, carbonati de amoniu, carbonati de sodiu), sare, emulsifianti (lecitina din soia, lecitina din floarea soarelui), arome.	en:gluten,en:soybeans	en:gluten,en:soybeans	en:milk	en:milk				2	en:e500,en:e500i,en:e501,en:e501i	0			0			d		Sugary snacks	Biscuits and cakes	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:chocolate-biscuits	https://static.openfoodfacts.org/images/products/762/221/083/6687/front_ro.4.400.jpg	https://static.openfoodfacts.org/images/products/762/221/083/6687/front_ro.4.200.jpg	https://static.openfoodfacts.org/images/products/762/221/083/6687/front_ro.4.400.jpg	https://static.openfoodfacts.org/images/products/762/221/083/6687/front_ro.4.200.jpg	https://static.openfoodfacts.org/images/products/762/221/083/6687/ingredients_ro.7.400.jpg	https://static.openfoodfacts.org/images/products/762/221/083/6687/ingredients_ro.7.200.jpg	https://static.openfoodfacts.org/images/products/762/221/083/6687/nutrition_ro.10.400.jpg	https://static.openfoodfacts.org/images/products/762/221/083/6687/nutrition_ro.10.200.jpg	1983		19	5.3																																			67	36									3.8	5.7				0.74	0.296																																												16	16							
5941047822338	https://world.openfoodfacts.org/product/5941047822338	rapiteanu	1569314945	1572773217	"ROM Prăjitură"	"Rom Prăjitură cu cremă rom și glazură cu cacao"	35 g	Folie alimentara	folie-alimentara	ROM	rom	"Biscuits and cakes,Prăjitură,Prăjitură cu ciocolată"	"en:biscuits-and-cakes,en:cakes,ro:prăjitură-cu-ciocolată"			Romania	romania							România		România	"Glazură de cacao (34%) [(zahăr, grăsime vegetală parțial hidrogenată (soia, palmier shea) pudră de cacao cu conținut redus de grăsime 7%, emulsifiant (lecitină din soia), aromă)], zahăr, uleiuri vegetale rafinate (floarea soarelui, rapiță, palmier), grăsime vegetală parțial hidrogenată (palmier), făină din grâu, sirop de glucoză, ouă, sirop de glucoză-fructoză, agenți de umezire (sorbitol, glicerină), pudră de cacao cu conținut redus de grăsime, lapte praf degresat, alcool etilic rafinat de origine agricolă, agenți de afânare (difosfat disodic, carbonat acid de sodiu), arome, emulsifianți (esteri poliglicerici ai acizilor grași), rom 0,1%, sare, conservant (sorbat de potasiu). Poate conține de arahide și fructe cu coajă lemnoasă."	en:gluten,en:milk,en:soybeans	en:gluten,en:milk,en:soybeans	en:eggs,en:nuts,en:soybeans	en:eggs,en:nuts,en:soybeans				5	en:e202,en:e420,en:e420i,en:e450,en:e450i,en:e475,en:e500,en:e500ii	0			0			e	4	Sugary snacks	Biscuits and cakes	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:cakes	https://static.openfoodfacts.org/images/products/594/104/782/2338/front_ro.13.400.jpg	https://static.openfoodfacts.org/images/products/594/104/782/2338/front_ro.13.200.jpg	https://static.openfoodfacts.org/images/products/594/104/782/2338/front_ro.13.400.jpg	https://static.openfoodfacts.org/images/products/594/104/782/2338/front_ro.13.200.jpg	https://static.openfoodfacts.org/images/products/594/104/782/2338/ingredients_ro.7.400.jpg	https://static.openfoodfacts.org/images/products/594/104/782/2338/ingredients_ro.7.200.jpg	https://static.openfoodfacts.org/images/products/594/104/782/2338/nutrition_ro.10.400.jpg	https://static.openfoodfacts.org/images/products/594/104/782/2338/nutrition_ro.10.200.jpg	1854		23.2	9.2																																			49.3	35.6									0	4.5				0.39	0.156																																												22	22							
5941301018101	https://world.openfoodfacts.org/product/5941301018101	openfoodfacts-contributors	1553156171	1572773210	"Sărățele cu chimen"	"Sărățele cu chimen, 150g,"	150 g,	"Pungă"	"pungă"	Vatra Ardeleneasca	vatra-ardeleneasca	Biscuits and cakes,Pastries	en:biscuits-and-cakes,en:pastries			Romania	romania									România	"Ingrediente: faină albă de grâu, uleiuri vegetale rafinate şi partial hidrogenate (palmier, floarea soarelui, rapită), apă, drojdie, sare iodată, chimen (min 1%), zahar, emulsifiant: E471(palmier), zer pudră, dextroză, aromă, colorant: betacaroten. Poate contine urme de: susan."	en:gluten,en:milk	en:gluten,en:milk	en:sesame-seeds	en:sesame-seeds				2	en:e160a,en:e160ai,en:e471	0			1		e471-mono-et-diglycerides-d-acides-gras-alimentaires	d	4	Sugary snacks	Biscuits and cakes	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:pastries	https://static.openfoodfacts.org/images/products/594/130/101/8101/front_ro.3.400.jpg	https://static.openfoodfacts.org/images/products/594/130/101/8101/front_ro.3.200.jpg	https://static.openfoodfacts.org/images/products/594/130/101/8101/front_ro.3.400.jpg	https://static.openfoodfacts.org/images/products/594/130/101/8101/front_ro.3.200.jpg	https://static.openfoodfacts.org/images/products/594/130/101/8101/ingredients_ro.5.400.jpg	https://static.openfoodfacts.org/images/products/594/130/101/8101/ingredients_ro.5.200.jpg	https://static.openfoodfacts.org/images/products/594/130/101/8101/nutrition_ro.7.400.jpg	https://static.openfoodfacts.org/images/products/594/130/101/8101/nutrition_ro.7.200.jpg	2159		28.47	12.99																																			55.19	1.14									0	8.28				0.13	0.052																																												16	16							
5941017013353	https://world.openfoodfacts.org/product/5941017013353	openfoodfacts-contributors	1547720481	1572773207	"Joe XXL Napolitane cu ciocolată"	"Joe XXL Napolitane cu ciocolată, 46g,"	46 g,	Folie	folie	Nestlé,Joe	nestle,joe	Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Wafers	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:wafers			Romania	romania									România	"Ingrediente:ciocolată cu lapte 33% [(zahăr, unt de cacao, masă de cacao, lapte praf integral 15%, zer praf (din lapte), uleiuri vegetale (palmier, shea), cacao pudră cu conținut redus de grăsime (10-12% unt de cacao), emulgatori (lecitine)], zahăr, făina de grâu, ulei vegetal de palmier, zer praf (din lapte), cacao pudră cu conținut redus de grăsime (10-12% unt de cacao) 2,3% pudră de roșcove, lapte praf degresat, emulgatori (lecitine, poliricinoleat de poliglicerină), sare, agent de afânare (carbonați de sodiu). Ciocolata cu lapte conține și alte grăsimi vegetale pe lângă untul de cacao. Substanța uscată de cacao în ciocolata cu lapte: 30% minim. Poate conține soia, arahide și alte varietăți de nuci."	en:gluten,en:milk	en:gluten,en:milk	en:nuts,en:peanuts,en:soybeans	en:nuts,en:peanuts,en:soybeans				1	en:e322	0			0			e		Sugary snacks	Biscuits and cakes	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	en:wafers	https://static.openfoodfacts.org/images/products/594/101/701/3353/front_en.4.400.jpg	https://static.openfoodfacts.org/images/products/594/101/701/3353/front_en.4.200.jpg	https://static.openfoodfacts.org/images/products/594/101/701/3353/front_en.4.400.jpg	https://static.openfoodfacts.org/images/products/594/101/701/3353/front_en.4.200.jpg	https://static.openfoodfacts.org/images/products/594/101/701/3353/ingredients_en.9.400.jpg	https://static.openfoodfacts.org/images/products/594/101/701/3353/ingredients_en.9.200.jpg	https://static.openfoodfacts.org/images/products/594/101/701/3353/nutrition_en.12.400.jpg	https://static.openfoodfacts.org/images/products/594/101/701/3353/nutrition_en.12.200.jpg	2152		27.7	14.2																																			59.3	45.3									2.5	5.7				0.23	0.092																																												25	25							
20347529	https://world.openfoodfacts.org/product/20347529	brandprivat	1519495057	1572773182	Tastino Biscuiti Petit beurre	Tastino Biscuiti petit beurre 450g	450 g	Celofan alimentar	celofan-alimentar	Tastino	tastino	Snacks, Sweet snacks, Biscuits and cakes, Biscuits, fr:Petits beurres, Biscuiti	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,fr:petits-beurres,ro:biscuiti					Vegetarian	en:vegetarian					Constanta,Romania	Lidl	România	Faina de grau, zahar, zahar invertit, grasimi vegetale nehidrogenate, apa, agenti de afanare: bicarbonat de amoniu, bicarbonat de sodiu, aroma de vanilie, amidon din porumb, emulgator: lecitina din soia, conservant: metabisulfit de sodiu.								3	en:e223,en:e500,en:e500ii,en:e503,en:e503ii	0			0			d		Sugary snacks	Biscuits and cakes	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded	fr:petits-beurres	https://static.openfoodfacts.org/images/products/20347529/front_ro.4.400.jpg	https://static.openfoodfacts.org/images/products/20347529/front_ro.4.200.jpg	https://static.openfoodfacts.org/images/products/20347529/front_ro.4.400.jpg	https://static.openfoodfacts.org/images/products/20347529/front_ro.4.200.jpg	https://static.openfoodfacts.org/images/products/20347529/ingredients_ro.7.400.jpg	https://static.openfoodfacts.org/images/products/20347529/ingredients_ro.7.200.jpg	https://static.openfoodfacts.org/images/products/20347529/nutrition_ro.10.400.jpg	https://static.openfoodfacts.org/images/products/20347529/nutrition_ro.10.200.jpg	1761		9.2	4.1																																			72.2	17.7									3.5	9.8				0.9	0.36																																												12	12							
